age,volunteer,method,day,time_to_sleep
Adult,A,control,day1,30
Adult,B,control,day1,5
Adult,C,control,day1,9
Adult,D,control,day1,8
Adult,E,control,day1,50
Adult,F,control,day1,16
Adult,G,control,day1,13
Adult,H,control,day1,10
G7,I,control,day1,10
G7,J,control,day1,45
G7,K,control,day1,17
G7,L,control,day1,35
G7,M,control,day1,5
G7,N,control,day1,17
G7,O,control,day1,25
G7,P,control,day1,10
Adult,A,glasses,day1,45
Adult,B,glasses,day1,5
Adult,C,glasses,day1,13
Adult,D,glasses,day1,16
Adult,E,glasses,day1,15
Adult,F,glasses,day1,23
Adult,G,glasses,day1,6
Adult,H,glasses,day1,15
G7,I,glasses,day1,15
G7,J,glasses,day1,20
G7,K,glasses,day1,7
G7,L,glasses,day1,20
G7,M,glasses,day1,3
G7,N,glasses,day1,9
G7,O,glasses,day1,18
G7,P,glasses,day1,15
Adult,A,control,day2,45
Adult,B,control,day2,17
Adult,C,control,day2,6
Adult,D,control,day2,19
Adult,E,control,day2,20
Adult,F,control,day2,19
Adult,G,control,day2,11
Adult,H,control,day2,35
G7,I,control,day2,10
G7,J,control,day2,40
G7,K,control,day2,20
G7,L,control,day2,25
G7,M,control,day2,4
G7,N,control,day2,18
G7,O,control,day2,25
G7,P,control,day2,30
Adult,A,glasses,day2,20
Adult,B,glasses,day2,20
Adult,C,glasses,day2,10
Adult,D,glasses,day2,10
Adult,E,glasses,day2,55
Adult,F,glasses,day2,10
Adult,G,glasses,day2,9
Adult,H,glasses,day2,10
G7,I,glasses,day2,16
G7,J,glasses,day2,15
G7,K,glasses,day2,13
G7,L,glasses,day2,10
G7,M,glasses,day2,2
G7,N,glasses,day2,8
G7,O,glasses,day2,15
G7,P,glasses,day2,5
Adult,A,control,day3,20
Adult,B,control,day3,5
Adult,C,control,day3,10
Adult,D,control,day3,19
Adult,E,control,day3,30
Adult,F,control,day3,12
Adult,G,control,day3,13
Adult,H,control,day3,10
G7,I,control,day3,15
G7,J,control,day3,60
G7,K,control,day3,16
G7,L,control,day3,25
G7,M,control,day3,7
G7,N,control,day3,16
G7,O,control,day3,30
G7,P,control,day3,15
Adult,A,glasses,day3,25
Adult,B,glasses,day3,14
Adult,C,glasses,day3,10
Adult,D,glasses,day3,9
Adult,E,glasses,day3,15
Adult,F,glasses,day3,18
Adult,G,glasses,day3,14
Adult,H,glasses,day3,30
G7,I,glasses,day3,12
G7,J,glasses,day3,25
G7,K,glasses,day3,5
G7,L,glasses,day3,25
G7,M,glasses,day3,4
G7,N,glasses,day3,11
G7,O,glasses,day3,12
G7,P,glasses,day3,15
